epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
155,1049.85,0.09046,0.8,1,1.26324,0.000773353,0.000773353,0.000773353
156,1056.64,0.06703,0.80714,1,0.96584,0.00077116,0.00077116,0.00077116
157,1063.42,0.05893,0.79286,1,1.27489,0.000768968,0.000768968,0.000768968
158,1070.21,0.09339,0.76429,1,1.06808,0.000766775,0.000766775,0.000766775
159,1076.95,0.09664,0.74286,1,1.14961,0.000764583,0.000764583,0.000764583
160,1084.09,0.09065,0.8,1,1.09393,0.00076239,0.00076239,0.00076239
161,1090.84,0.06441,0.8,1,0.95715,0.000760198,0.000760198,0.000760198
162,1097.65,0.07751,0.75714,1,0.95921,0.000758005,0.000758005,0.000758005
163,1104.41,0.07429,0.71429,1,0.91342,0.000755813,0.000755813,0.000755813
164,1111.17,0.06701,0.81429,1,0.89579,0.00075362,0.00075362,0.00075362
165,1117.92,0.08478,0.75714,1,1.19323,0.000751428,0.000751428,0.000751428
166,1124.66,0.08282,0.73571,1,1.16203,0.000749235,0.000749235,0.000749235
167,1131.46,0.07644,0.73571,1,1.1011,0.000747043,0.000747043,0.000747043
168,1138.26,0.09434,0.75714,1,0.89678,0.00074485,0.00074485,0.00074485
169,1145.03,0.08504,0.77143,1,0.76874,0.000742658,0.000742658,0.000742658
170,1151.75,0.06707,0.79286,1,0.71239,0.000740465,0.000740465,0.000740465
171,1158.54,0.06793,0.80714,1,0.73377,0.000738273,0.000738273,0.000738273
172,1165.28,0.07204,0.78571,1,0.77737,0.00073608,0.00073608,0.00073608
173,1172.04,0.06449,0.77857,1,0.96196,0.000733888,0.000733888,0.000733888
174,1178.79,0.08207,0.78571,1,1.05845,0.000731695,0.000731695,0.000731695
175,1185.59,0.06543,0.80714,1,1.06214,0.000729503,0.000729503,0.000729503
176,1192.36,0.06798,0.78571,1,1.02161,0.00072731,0.00072731,0.00072731
177,1199.13,0.0601,0.77143,1,0.99175,0.000725118,0.000725118,0.000725118
178,1205.9,0.06613,0.76429,1,1.09893,0.000722925,0.000722925,0.000722925
179,1212.68,0.04735,0.77857,1,0.96678,0.000720732,0.000720732,0.000720732
180,1219.5,0.05674,0.76429,1,1.03722,0.00071854,0.00071854,0.00071854
181,1226.29,0.06594,0.8,1,0.88377,0.000716347,0.000716347,0.000716347
182,1233.07,0.04436,0.76429,1,1.06456,0.000714155,0.000714155,0.000714155
183,1239.9,0.06777,0.75,1,0.90639,0.000711962,0.000711962,0.000711962
184,1246.88,0.04391,0.77143,1,1.11408,0.00070977,0.00070977,0.00070977
185,1253.67,0.04332,0.75,1,1.05711,0.000707577,0.000707577,0.000707577
186,1260.44,0.07226,0.75714,1,0.9437,0.000705385,0.000705385,0.000705385
187,1267.21,0.08816,0.74286,1,0.97067,0.000703192,0.000703192,0.000703192
188,1273.95,0.08688,0.75,1,0.96693,0.000701,0.000701,0.000701
189,1280.72,0.05715,0.76429,1,1.24969,0.000698807,0.000698807,0.000698807
190,1287.49,0.05574,0.75714,1,1.39307,0.000696615,0.000696615,0.000696615
191,1294.27,0.07133,0.76429,1,1.09747,0.000694422,0.000694422,0.000694422
192,1301.02,0.07144,0.75714,1,1.10375,0.00069223,0.00069223,0.00069223
193,1307.79,0.0615,0.75714,1,1.31978,0.000690037,0.000690037,0.000690037
194,1314.59,0.07782,0.73571,1,1.3994,0.000687845,0.000687845,0.000687845
195,1321.34,0.07859,0.75,1,1.13177,0.000685652,0.000685652,0.000685652
196,1328.13,0.05739,0.77143,1,1.00916,0.00068346,0.00068346,0.00068346
197,1335.07,0.10844,0.73571,1,0.98537,0.000681267,0.000681267,0.000681267
198,1341.83,0.08687,0.78571,1,0.93085,0.000679075,0.000679075,0.000679075
199,1348.6,0.07171,0.80714,1,1.09969,0.000676882,0.000676882,0.000676882
200,1355.37,0.11399,0.77143,1,1.12943,0.00067469,0.00067469,0.00067469
201,1362.13,0.06058,0.77857,1,1.16404,0.000672497,0.000672497,0.000672497
202,1368.88,0.06514,0.77143,1,0.99911,0.000670305,0.000670305,0.000670305
203,1375.61,0.07336,0.74286,1,1.27837,0.000668112,0.000668112,0.000668112
204,1382.36,0.05953,0.79286,1,1.03541,0.00066592,0.00066592,0.00066592
205,1389.13,0.07039,0.8,1,1.02919,0.000663727,0.000663727,0.000663727
206,1395.9,0.0629,0.75714,1,0.85604,0.000661535,0.000661535,0.000661535
207,1402.66,0.04911,0.8,1,0.7654,0.000659342,0.000659342,0.000659342
208,1409.41,0.04937,0.81429,1,1.0079,0.00065715,0.00065715,0.00065715
209,1416.18,0.07317,0.78571,1,0.84104,0.000654957,0.000654957,0.000654957
210,1422.96,0.12077,0.82143,1,0.84679,0.000652765,0.000652765,0.000652765
211,1429.68,0.12382,0.78571,1,0.96349,0.000650572,0.000650572,0.000650572
212,1436.44,0.06451,0.76429,1,1.03272,0.00064838,0.00064838,0.00064838
213,1443.23,0.09632,0.77857,1,1.11919,0.000646187,0.000646187,0.000646187
214,1449.97,0.08376,0.8,1,1.02413,0.000643995,0.000643995,0.000643995
215,1456.78,0.09231,0.8,1,1.27024,0.000641802,0.000641802,0.000641802
216,1463.55,0.06785,0.76429,1,1.1696,0.000639609,0.000639609,0.000639609
217,1470.29,0.06873,0.75,1,1.04133,0.000637417,0.000637417,0.000637417
218,1477.07,0.08026,0.73571,1,1.01103,0.000635224,0.000635224,0.000635224
219,1483.84,0.05672,0.75,1,1.01371,0.000633032,0.000633032,0.000633032
220,1490.57,0.06817,0.76429,1,0.9076,0.000630839,0.000630839,0.000630839
221,1497.3,0.08048,0.75714,1,0.86,0.000628647,0.000628647,0.000628647
222,1504.02,0.07159,0.78571,1,1.09818,0.000626454,0.000626454,0.000626454
223,1510.78,0.05122,0.78571,1,1.15607,0.000624262,0.000624262,0.000624262
